user_id,tw_lag7_watched,tw_lag6_watched,tw_lag5_watched,tw_lag4_watched,tw_lag3_watched,tw_lag2_watched,tw_lag1_watched,average_completion,total_sessions,num_genre,num_weekday,num_timeday,most_genre_Children's,most_genre_Comedy,most_genre_Drama,most_genre_Entertainment,most_genre_Factual,most_genre_Learning,most_genre_Music,most_genre_News,most_genre_Religion & Ethics,most_genre_Sport,most_genre_Weather,most_weekday_weekday_0,most_weekday_weekday_1,most_weekday_weekday_2,most_weekday_weekday_3,most_weekday_weekday_4,most_weekday_weekday_5,most_weekday_weekday_6,most_timeday_Afternoon,most_timeday_Evening,most_timeday_Morning,most_timeday_Night
AADDJF,0.0,115.84174999999999,3.622533333333333,0.0,0.0,0.0,0.0,0.5340680481481481,7,7,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
AADVCF,104.50253333333333,68.4228,11.407633333333335,44.93376666666666,15.1393,0.1467,22.515166666666666,0.20755420988274795,38,7,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
AADWBM,27.124283333333334,59.183333333333344,0.0,0.0,0.0,0.0,0.0,0.4530037551789077,4,3,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AAHITE,0.3567166666666667,167.61373333333333,58.89938333333334,10.3118,55.222833333333334,59.831783333333334,61.61383333333333,0.5675440292353578,20,4,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
AAKIJG,28.29971666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06276223771829283,15,2,4,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
AAQTRA,119.60198333333334,0.0,0.0,47.52515,0.0,0.0,0.0,0.4023970446596717,7,3,3,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AAQYFA,868.4416833333335,1112.359866666667,488.7781499999999,950.7775666666668,780.9200166666668,320.0237,150.89085,0.2633981809196283,388,7,7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
AARDMV,166.46403333333333,10.888099999999998,70.7639,110.50121666666666,0.0,296.71,64.59546666666665,0.37829348501850446,32,4,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
AARFWR,2.9470666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
AATAUI,118.14301666666668,0.04443333333333333,0.0,0.0,14.310783333333333,86.09218333333332,28.821333333333335,0.18011469762958518,33,5,6,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
